"No","Name","Games","Age","Date.of.Birth","Height","Weight","Origin","Position","Team"
3,"Berry, Sam",57,"23yr 1mth","12 Feb 2002","181cm","88kg","Gippsland Power","Midfield","Adelaide Crows"
35,"Borlase, James R",15,"22yr 8mth","18 Jul 2002","192cm","101kg","Sturt","Defender","Adelaide Crows"
16,"Brown, Luke",189,"32yr 6mth","22 Sep 1992","181cm","81kg","Norwood","Defender","Adelaide Crows"
41,"Butts, Jordon",75,"25yr 3mth","31 Dec 1999","195cm","97kg","Murray Bushrangers","Defender","Adelaide Crows"
15,"Cook, Brayden",27,"22yr 8mth","18 Jul 2002","189cm","85kg","South Adelaide","Forward","Adelaide Crows"
5,"Crouch, Matt",161,"29yr 11mth","21 Apr 1995","181cm","85kg","North Ballarat Rebels","Midfield","Adelaide Crows"
40,"Davis, Ben R",11,"27yr 10mth","19 May 1997","189cm","89kg","UNSW","Defender Forward","Adelaide Crows"
12,"Dawson, Jordan",134,"27yr 11mth","9 Apr 1997","190cm","91kg","Sturt","Midfield","Adelaide Crows"
12,"Doedee, Tom",82,"28yr 1mth","1 Mar 1997","190cm","90kg","Geelong Falcons","Defender","Adelaide Crows"
32,"Fogarty, Darcy",105,"25yr 6mth","25 Sep 1999","192cm","100kg","Glenelg","Forward","Adelaide Crows"
17,"Frampton, Billy",58,"28yr 4mth","20 Nov 1996","201cm","100kg","South Fremantle","Defender","Adelaide Crows"
44,"Gollant, Lachlan",16,"23yr 6mth","12 Sep 2001","193cm","85kg","Calder Cannons","Forward","Adelaide Crows"
17,"Hamill, Will R",45,"24yr 4mth","17 Nov 2000","187cm","84kg","Dandenong Stingrays","Defender","Adelaide Crows"
6,"Hately, Jackson",28,"24yr 5mth","21 Oct 2000","191cm","85kg","Central District","Midfield","Adelaide Crows"
12,"Himmelberg, Elliott",50,"26yr 9mth","4 Jun 1998","196cm","99kg","Redlands","Forward","Adelaide Crows"
20,"Hinge, Mitchell",68,"26yr 9mth","28 Jun 1998","187cm","90kg","Glenelg","Defender","Adelaide Crows"
1,"Jones, Chayce",92,"25yr 2mth","14 Jan 2000","180cm","84kg","Launceston","Midfield","Adelaide Crows"
2,"Keays, Ben",139,"28yr 1mth","23 Feb 1997","185cm","86kg","Brisbane Reserves","Forward","Adelaide Crows"
29,"Laird, Rory",250,"31yr 3mth","29 Dec 1993","178cm","85kg","West Adelaide","Midfield","Adelaide Crows"
23,"McAdam, Shane",53,"29yr 10mth","28 May 1995","186cm","80kg","Sturt","Forward","Adelaide Crows"
3,"McAsey, Fischer",10,"24yr","8 Mar 2001","196cm","96kg","Sandringham Dragons","Defender","Adelaide Crows"
25,"McHenry, Ned",70,"24yr 8mth","13 Jul 2000","179cm","81kg","Geelong Falcons","Forward","Adelaide Crows"
36,"McPherson, Andrew R",28,"25yr 9mth","20 Jun 1999","187cm","86kg","Woodville-West Torrens","Defender","Adelaide Crows"
30,"Milera, Wayne",102,"27yr 6mth","14 Sep 1997","185cm","88kg","Central District","Defender","Adelaide Crows"
4,"Murphy, Lachlan",115,"26yr 3mth","4 Dec 1998","178cm","83kg","Adelaide Football Club","Forward","Adelaide Crows"
9,"Murray, Nick",57,"24yr 3mth","18 Dec 2000","195cm","100kg","Allies","Defender","Adelaide Crows"
27,"Nankervis, Luke",24,"21yr 10mth","25 May 2003","189cm","85kg","Sandringham Dragons","Defender","Adelaide Crows"
42,"Newchurch, Tariek R",0,"22yr 8mth","21 Jul 2002","182cm","79kg","North Adelaide","Forward","Adelaide Crows"
43,"O'Brien, Reilly",124,"29yr 7mth","20 Aug 1995","201cm","105kg","Calder Cannons","Ruck","Adelaide Crows"
37,"Parnell, Patrick R",17,"23yr","4 Mar 2002","178cm","76kg","Murray Bushrangers","Defender","Adelaide Crows"
10,"Pedlar, Luke",30,"22yr 10mth","17 May 2002","183cm","84kg","Glenelg","Forward","Adelaide Crows"
8,"Rachele, Josh",59,"21yr 11mth","11 Apr 2003","180cm","84kg","Murray Bushrangers","Forward","Adelaide Crows"
31,"Rowe, James",36,"25yr 6mth","17 Sep 1999","173cm","76kg","Woodville-west Torrens","Forward","Adelaide Crows"
26,"Schoenberg, Harry R",61,"24yr 1mth","21 Feb 2001","180cm","86kg","Woodville West Torrens","Forward","Adelaide Crows"
11,"Seedsman, Paul R",132,"33yr 2mth","22 Jan 1992","190cm","84kg","Eastern Ranges","Midfield","Adelaide Crows"
38,"Sholl, Lachlan",77,"25yr","7 Mar 2000","186cm","87kg","Calder Cannons","Midfield","Adelaide Crows"
9,"Sloane, Rory",255,"35yr","17 Mar 1990","183cm","87kg","Eastern Ranges","Midfield","Adelaide Crows"
33,"Smith, Brodie",262,"33yr 2mth","14 Jan 1992","194cm","88kg","Woodville West Torrens","Defender","Adelaide Crows"
14,"Soligo, Jake",63,"22yr 2mth","25 Jan 2003","179cm","84kg","Eastern Ranges","Midfield","Adelaide Crows"
45,"Strachan, Kieran",7,"29yr 5mth","5 Oct 1995","202cm","102kg","Port Melbourne","Ruck","Adelaide Crows"
19,"Taylor, Zac",9,"22yr 2mth","31 Jan 2003","180cm","81kg","Calder Cannons","Midfield Forward","Adelaide Crows"
7,"Thilthorpe, Riley",56,"22yr 8mth","7 Jul 2002","201cm","103kg","West Adelaide Fc","Forward","Adelaide Crows"
46,"Turner, Brett R",0,"28yr 2mth","11 Jan 1997","185cm","88kg","Glenelg","Midfield","Adelaide Crows"
13,"Walker, Taylor",281,"34yr 11mth","25 Apr 1990","192cm","102kg","Broken Hill North","Forward","Adelaide Crows"
24,"Worrell, Josh",33,"23yr 11mth","11 Apr 2001","195cm","93kg","Sandringham Dragons","Defender","Adelaide Crows"
4,"Ah Chee, Callum",146,"27yr 5mth","9 Oct 1997","182cm","80kg","South Fremantle","Forward","Brisbane Lions"
31,"Andrews, Harris",215,"28yr 3mth","11 Dec 1996","200cm","98kg","Aspley","Defender","Brisbane Lions"
43,"Answerth, Noah",74,"25yr 7mth","6 Aug 1999","182cm","82kg","Oakleigh Chargers","Defender","Brisbane Lions"
10,"Ashcroft, Levi",3,"18yr 3mth","18 Dec 2006","179cm","75kg","Sandringham Dragons","Midfield","Brisbane Lions"
8,"Ashcroft, Will",34,"20yr 10mth","6 May 2004","182cm","78kg","Sandringham Dragons","Midfield","Brisbane Lions"
33,"Bailey, Zac",143,"25yr 6mth","23 Sep 1999","181cm","84kg","Norwood","Midfield Forward","Brisbane Lions"
17,"Beecken, Luke R",0,"23yr 11mth","18 Apr 2001","185cm","73kg","Woodville-West Torrens","Defender","Brisbane Lions"
7,"Berry, Jarrod",163,"27yr 1mth","5 Feb 1998","193cm","89kg","North Ballarat Rebels","Midfield","Brisbane Lions"
34,"Brain, Shadeau R",9,"21yr 1mth","13 Feb 2004","183cm","83kg","Noosa","Defender","Brisbane Lions"
23,"Cameron, Charlie",230,"30yr 8mth","5 Jul 1994","180cm","76kg","Swan Districts","Forward","Brisbane Lions"
18,"Coleman, Keidean",65,"25yr","31 Mar 2000","182cm","82kg","Brisbane","Defender","Brisbane Lions"
45,"Craven, Darcy R",0,"20yr 8mth","22 Jul 2004","174cm","66kg","East Perth","Forward","Brisbane Lions"
14,"Day, Sam",157,"32yr 6mth","6 Sep 1992","196cm","106kg","Sturt","Forward","Brisbane Lions"
12,"Doedee, Tom",82,"28yr 1mth","1 Mar 1997","190cm","90kg","Geelong Falcons","Defender","Brisbane Lions"
5,"Dunkley, Josh",170,"28yr 2mth","9 Jan 1997","191cm","87kg","Gippsland Power","Midfield","Brisbane Lions"
3,"Fletcher, Jaspa",44,"21yr 1mth","24 Feb 2004","184cm","76kg","Brisbane Lions","Midfield","Brisbane Lions"
32,"Fort, Darcy",38,"31yr 7mth","6 Aug 1993","204cm","98kg","Central District","Ruck","Brisbane Lions"
22,"Gallop, Ty",0,"19yr 1mth","9 Feb 2006","194cm","92kg","Maroochydore","Forward","Brisbane Lions"
27,"Gardiner, Darcy",165,"29yr 6mth","22 Sep 1995","192cm","91kg","Geelong Falcons","Forward","Brisbane Lions"
30,"Hipwood, Eric",180,"27yr 6mth","13 Sep 1997","204cm","94kg","Aspley","Forward","Brisbane Lions"
41,"Joyce, Darragh R",24,"27yr 11mth","23 Apr 1997","195cm","96kg","Kilkenny","Defender","Brisbane Lions"
35,"Lester, Ryan R",210,"32yr 7mth","26 Aug 1992","190cm","84kg","Oakleigh Chargers","Defender","Brisbane Lions"
19,"Lloyd, Luke",0,"19yr 7mth","8 Aug 2005","193cm","84kg","Sandringham Dragons","Forward","Brisbane Lions"
1,"Lohmann, Kai",37,"21yr 10mth","6 May 2003","185cm","77kg","GWV Rebels","Forward","Brisbane Lions"
20,"Marshall, Sam",0,"19yr 2mth","19 Jan 2006","185cm","82kg","Sandringham Dragons","Midfield","Brisbane Lions"
11,"McCarthy, Lincoln",151,"31yr 5mth","22 Oct 1993","176cm","82kg","Glenelg","Forward","Brisbane Lions"
6,"McCluggage, Hugh",185,"27yr","3 Mar 1998","187cm","84kg","North Ballarat Rebels","Midfield","Brisbane Lions"
46,"McInerney, Oscar",153,"30yr 8mth","10 Jul 1994","205cm","110kg","Casey Scorpions","Ruck","Brisbane Lions"
26,"McKenna, Conor R",125,"29yr","28 Mar 1996","184cm","88kg","Eglish, Tyrone","Defender","Brisbane Lions"
28,"McLachlan, Will R",1,"19yr 11mth","13 Apr 2005","185cm","80kg","Geelong Falcons","Forward","Brisbane Lions"
13,"Morris, Logan",22,"19yr 10mth","10 May 2005","191cm","90kg","Western Jets","Forward","Brisbane Lions"
9,"Neale, Lachie",275,"31yr 10mth","24 May 1993","177cm","84kg","Glenelg","Midfield","Brisbane Lions"
40,"Payne, Jack",71,"25yr 5mth","15 Oct 1999","196cm","104kg","Lions Academy","Defender","Brisbane Lions"
16,"Rayner, Cameron",143,"25yr 5mth","21 Oct 1999","187cm","93kg","Western Jets","Forward","Brisbane Lions"
38,"Reville, Bruce R",14,"24yr 1mth","22 Feb 2001","185cm","80kg","Coates Talent League Boys","Midfield","Brisbane Lions"
2,"Robertson, Deven",43,"23yr 9mth","30 Jun 2001","185cm","84kg","Perth","Midfield Forward","Brisbane Lions"
24,"Ryan, Brandon R",4,"27yr 4mth","7 Nov 1997","200cm","91kg","Northern Bullants","Forward","Brisbane Lions"
25,"Smith, Henry",4,"22yr 6mth","24 Sep 2002","202cm","98kg","Woodville-west Torrens","Forward","Brisbane Lions"
37,"Starcevich, Brandon",119,"25yr 8mth","24 Jul 1999","188cm","90kg","East Perth","Defender","Brisbane Lions"
36,"Torrent, Reece",0,"19yr 7mth","3 Aug 2005","184cm","83kg","Peel Thunder","Midfield","Brisbane Lions"
29,"Tunstill, James",9,"21yr 8mth","18 Jul 2003","187cm","81kg","East Perth","Midfield Forward","Brisbane Lions"
44,"Wilmot, Darcy",59,"21yr 3mth","31 Dec 2003","183cm","79kg","Northern Knights","Defender","Brisbane Lions"
21,"Zakostelsky, Zane",0,"19yr 3mth","14 Dec 2005","196cm","89kg","Claremont","Defender Ruck","Brisbane Lions"
15,"Zorko, Dayne",280,"36yr 1mth","9 Feb 1989","175cm","77kg","Broadbeach","Defender","Brisbane Lions"
41,"Akuei, Domanic R",0,"22yr 10mth","12 May 2002","194cm","86kg","Carlton Academy","Defender","Carlton Bules"
37,"Boyd, Jordan",36,"26yr 6mth","22 Sep 1998","182cm","81kg","Footscray","Defender","Carlton Bules"
18,"Carroll, Jack",21,"22yr 3mth","20 Dec 2002","188cm","83kg","East Fremantle","Midfield Forward","Carlton Bules"
5,"Cerra, Adam",132,"25yr 5mth","7 Oct 1999","188cm","87kg","Eastern Ranges","Midfield","Carlton Bules"
46,"Cottrell, Matt",71,"25yr 1mth","29 Feb 2000","184cm","83kg","Dandenong Stingrays","Midfield Forward","Carlton Bules"
9,"Cripps, Patrick",210,"30yr","18 Mar 1995","195cm","93kg","East Fremantle","Midfield","Carlton Bules"
28,"Cuningham, David",58,"28yr","30 Mar 1997","183cm","83kg","Oakleigh Chargers","Forward","Carlton Bules"
30,"Curnow, Charlie",133,"28yr 1mth","3 Feb 1997","194cm","94kg","Geelong Falcons","Forward","Carlton Bules"
35,"Curnow, Edward R",221,"35yr 4mth","7 Nov 1989","179cm","86kg","Geelong Falcons","Midfield Forward","Carlton Bules"
12,"De Koning, Tom",81,"25yr 8mth","16 Jul 1999","201cm","102kg","Dandenong Stingrays","Ruck","Carlton Bules"
15,"Docherty, Sam",172,"31yr 5mth","17 Oct 1993","187cm","87kg","Gippsland Power","Midfield","Carlton Bules"
15,"Dow, Paddy",83,"25yr 5mth","16 Oct 1999","184cm","83kg","Bendigo Pioneers","Midfield","Carlton Bules"
19,"Durdin, Corey",48,"22yr 11mth","14 Apr 2002","173cm","76kg","Central Districts","Forward","Carlton Bules"
38,"Durdin, Sam R",24,"28yr 9mth","6 Jun 1996","199cm","100kg","West Adelaide","Defender","Carlton Bules"
16,"Fisher, Zac",125,"26yr 9mth","15 Jun 1998","175cm","76kg","Perth","Defender","Carlton Bules"
8,"Fogarty, Lachlan",73,"26yr","1 Apr 1999","180cm","76kg","Western Jets","Forward","Carlton Bules"
40,"Hayes, Will R",13,"29yr 9mth","5 Jun 1995","181cm","77kg","Footscray Vfl","Midfield Forward","Carlton Bules"
29,"Hewett, George",182,"29yr 3mth","29 Dec 1995","187cm","87kg","North Adelaide","Midfield","Carlton Bules"
36,"Honey, Josh",17,"23yr 5mth","17 Oct 2001","186cm","85kg","Western Jets","Forward","Carlton Bules"
17,"Kemp, Brodie",47,"23yr 11mth","1 May 2001","192cm","89kg","Bendigo Pioneers","Defender","Carlton Bules"
8,"Kennedy, Matthew",121,"27yr 11mth","6 Apr 1997","188cm","91kg","Collingullie Ashmont Kapooka","Midfield Forward","Carlton Bules"
22,"Marchbank, Caleb",63,"28yr 3mth","7 Dec 1996","193cm","92kg","Murray Bushrangers","Defender","Carlton Bules"
19,"Martin, Jack",151,"30yr 2mth","29 Jan 1995","186cm","82kg","Geraldton","Forward","Carlton Bules"
21,"McDonald, Oscar R",87,"29yr","18 Mar 1996","196cm","100kg","North Ballarat Rebels","Defender","Carlton Bules"
11,"McGovern, Mitch",131,"30yr 5mth","11 Oct 1994","190cm","88kg","Claremont","Defender","Carlton Bules"
10,"McKay, Harry",129,"27yr 3mth","24 Dec 1997","200cm","106kg","Gippsland Power","Forward","Carlton Bules"
45,"Mirkov, Alex R",0,"25yr 4mth","17 Nov 1999","210cm","105kg","Carlton","Ruck","Carlton Bules"
3,"Motlop, Jesse",43,"21yr 4mth","23 Nov 2003","180cm","81kg","South Fremantle","Forward","Carlton Bules"
24,"Newman, Nic",134,"32yr 2mth","15 Jan 1993","186cm","80kg","Frankston","Defender","Carlton Bules"
32,"Newnes, Jack",207,"32yr 1mth","24 Feb 1993","185cm","86kg","Northern Knights","Midfield","Carlton Bules"
4,"O'Brien, Lochie R",66,"25yr 6mth","18 Sep 1999","185cm","84kg","Bendigo Pioneers","Midfield Forward","Carlton Bules"
16,"Owies, Matt",75,"28yr","19 Mar 1997","179cm","81kg","St Kevins","Forward","Carlton Bules"
26,"Parks, Luke R",8,"23yr 11mth","18 Apr 2001","192cm","86kg","Glenelg","Defender","Carlton Bules"
34,"Philp, Sam",2,"23yr 7mth","4 Aug 2001","186cm","83kg","Northern Knights","Forward","Carlton Bules"
27,"Pittonet, Marc",73,"28yr 9mth","3 Jun 1996","202cm","107kg","Oakleigh Chargers","Ruck","Carlton Bules"
20,"Plowman, Lachlan",145,"30yr 6mth","11 Sep 1994","193cm","87kg","Calder Cannons","Defender","Carlton Bules"
42,"Saad, Adam",198,"30yr 8mth","23 Jul 1994","178cm","79kg","Coburg","Defender","Carlton Bules"
12,"Setterfield, Will",71,"27yr 1mth","5 Feb 1998","192cm","87kg","Sandringham Dragons","Midfield","Carlton Bules"
1,"Silvagni, Jack",118,"27yr 3mth","17 Dec 1997","194cm","92kg","Oakleigh Chargers","Forward","Carlton Bules"
14,"Stocker, Liam",68,"25yr 2mth","23 Jan 2000","184cm","86kg","Sandringham Dragons","Defender","Carlton Bules"
18,"Walsh, Sam",122,"24yr 8mth","2 Jul 2000","184cm","84kg","Geelong Falcons","Midfield","Carlton Bules"
23,"Weitering, Jacob",184,"27yr 4mth","23 Nov 1997","195cm","102kg","Mount Eliza Football Club","Defender","Carlton Bules"
6,"Williams, Zachary",158,"30yr 6mth","20 Sep 1994","186cm","85kg","Narrandera","Defender Forward","Carlton Bules"
31,"Williamson, Tom",44,"26yr 3mth","12 Dec 1998","190cm","86kg","North Ballarat Rebels","Defender","Carlton Bules"
33,"Young, Lewis",69,"26yr 3mth","20 Dec 1998","202cm","99kg","Sturt","Defender","Carlton Bules"
3,"Adams, Taylor",226,"31yr 6mth","20 Sep 1993","181cm","85kg","Geelong Falcons","Midfield Forward","Collingwood Magpies"
39,"Begg, Aiden R",3,"22yr 5mth","8 Oct 2002","197cm","99kg","Eastern Ranges","Ruck","Collingwood Magpies"
8,"Bianco, Trent",23,"24yr 2mth","20 Jan 2001","178cm","75kg","Oakleigh Chargers","Midfield Forward","Collingwood Magpies"
17,"Brown, Callum",70,"26yr 11mth","27 Apr 1998","179cm","80kg","Eastern Ranges","Forward","Collingwood Magpies"
21,"Brown, Tyler R",28,"25yr 3mth","9 Dec 1999","192cm","84kg","Eastern Ranges","Midfield Forward","Collingwood Magpies"
14,"Cameron, Darcy",98,"29yr 8mth","18 Jul 1995","204cm","103kg","Claremont","Ruck","Collingwood Magpies"
12,"Carmichael, Josh R",8,"25yr 6mth","23 Sep 1999","190cm","88kg","West Adelaide","Forward","Collingwood Magpies"
34,"Chugg, Isaac R",2,"23yr 1mth","26 Feb 2002","180cm","80kg","Tasmania Devils","Defender","Collingwood Magpies"
46,"Cox, Mason",130,"34yr","14 Mar 1991","211cm","110kg","Oklahoma State","Forward Ruck","Collingwood Magpies"
25,"Crisp, Jack",252,"31yr 5mth","2 Oct 1993","190cm","91kg","Murray Bushrangers","Midfield","Collingwood Magpies"
7,"Daicos, Josh",129,"26yr 4mth","26 Nov 1998","178cm","77kg","Oakleigh Chargers","Midfield","Collingwood Magpies"
35,"Daicos, Nick",73,"22yr 2mth","3 Jan 2003","184cm","79kg","Oakleigh Chargers","Midfield","Collingwood Magpies"
2,"De Goey, Jordan",172,"29yr","15 Mar 1996","188cm","93kg","Oakleigh Chargers","Midfield","Collingwood Magpies"
43,"Dean, Charlie R",8,"23yr 9mth","19 Jun 2001","195cm","93kg","Williamstown VFL","Defender","Collingwood Magpies"
19,"Draper, Arlo",0,"22yr 2mth","30 Jan 2003","186cm","78kg","South Adelaide","Defender","Collingwood Magpies"
5,"Elliott, Jamie",197,"32yr 7mth","21 Aug 1992","178cm","83kg","Murray Bushrangers","Forward","Collingwood Magpies"
33,"Ginnivan, Jack",69,"22yr 3mth","9 Dec 2002","185cm","85kg","Bendigo Pioneers","Forward","Collingwood Magpies"
4,"Grundy, Brodie",223,"30yr 11mth","15 Apr 1994","202cm","105kg","Sturt","Ruck","Collingwood Magpies"
36,"Harrison, Harvey",16,"21yr 4mth","10 Nov 2003","181cm","83kg","North Adelaide","Forward","Collingwood Magpies"
36,"Henry, Oliver",73,"22yr 8mth","29 Jul 2002","189cm","80kg","Geelong Falcons","Forward","Collingwood Magpies"
32,"Hoskin-Elliott, Will",225,"31yr 6mth","2 Sep 1993","186cm","82kg","Western Jets","Forward","Collingwood Magpies"
38,"Howe, Jeremy",255,"34yr 9mth","29 Jun 1990","190cm","86kg","Hobart","Defender","Collingwood Magpies"
40,"Johnson, Ash R",27,"27yr 5mth","6 Oct 1997","193cm","91kg","Sturt","Forward","Collingwood Magpies"
20,"Kelly, Will",5,"24yr 7mth","16 Aug 2000","194cm","92kg","Oakleigh Chargers","Defender","Collingwood Magpies"
15,"Kreuger, Nathan",15,"25yr 9mth","25 Jun 1999","196cm","98kg","South Adelaide","Forward Ruck","Collingwood Magpies"
1,"Lipinski, Patrick",121,"26yr 8mth","17 Jul 1998","190cm","86kg","Northern Knights","Midfield Forward","Collingwood Magpies"
18,"Macrae, Finlay",21,"23yr","13 Mar 2002","188cm","80kg","Oakleigh Chargers","Midfield Forward","Collingwood Magpies"
44,"Madgen, Jack",49,"31yr 11mth","25 Apr 1993","192cm","95kg","Mount Gambier","Defender","Collingwood Magpies"
4,"Maynard, Brayden",212,"28yr 6mth","20 Sep 1996","189cm","93kg","Sandringham Dragons","Defender","Collingwood Magpies"
31,"McCreery, Beau",80,"23yr 11mth","19 Apr 2001","186cm","86kg","South Adelaide","Forward","Collingwood Magpies"
26,"McInnes, Reef",23,"22yr 3mth","12 Dec 2002","194cm","90kg","Oakleigh Chargers","Forward","Collingwood Magpies"
29,"McMahon, Liam",0,"22yr 10mth","2 May 2002","197cm","88kg","Northern Knights","Forward","Collingwood Magpies"
41,"Mihocek, Brody",139,"32yr 1mth","4 Feb 1993","192cm","99kg","Port Melbourne","Forward","Collingwood Magpies"
30,"Moore, Darcy",176,"29yr 2mth","25 Jan 1996","203cm","100kg","Oakleigh Chargers","Defender","Collingwood Magpies"
27,"Murley, Cooper R",0,"21yr 9mth","20 Jun 2003","178cm","67kg","Norwood","Midfield Forward","Collingwood Magpies"
28,"Murphy, Nathan",57,"25yr 3mth","15 Dec 1999","192cm","90kg","Sandringham Dragons","Defender","Collingwood Magpies"
2,"Noble, John R",114,"28yr","25 Mar 1997","180cm","72kg","West Adelaide","Defender","Collingwood Magpies"
10,"Pendlebury, Scott",406,"37yr 2mth","7 Jan 1988","191cm","86kg","Gippsland Power","Midfield","Collingwood Magpies"
25,"Poulter, Caleb R",28,"22yr 5mth","12 Oct 2002","194cm","84kg","Wwt Eagles","Midfield","Collingwood Magpies"
3,"Quaynor, Isaac",111,"25yr 2mth","15 Jan 2000","180cm","88kg","Oakleigh Chargers","Defender","Collingwood Magpies"
23,"Roughead, Jordan",201,"34yr 4mth","3 Nov 1990","200cm","100kg","North Ballarat Rebels","Defender","Collingwood Magpies"
21,"Ruscoe, Trey",18,"23yr 4mth","3 Nov 2001","193cm","93kg","East Fremantle","Defender","Collingwood Magpies"
22,"Sidebottom, Steele",334,"34yr 2mth","2 Jan 1991","184cm","86kg","Murray Bushrangers","Midfield","Collingwood Magpies"
12,"Wilson, Tom R",8,"27yr 9mth","24 Jun 1997","194cm","86kg","Vic Metro","Defender Forward","Collingwood Magpies"
26,"Baldwin, Kaine",8,"22yr 10mth","30 May 2002","193cm","97kg","Glenelg","Defender","Essendon Bombers"
38,"Brand, Cody",0,"22yr 10mth","23 May 2002","195cm","89kg","Calder Cannons","Defender","Essendon Bombers"
24,"Bryan, Nick",22,"23yr 5mth","22 Oct 2001","203cm","101kg","Oakleigh Chargers","Ruck","Essendon Bombers"
6,"Caldwell, Jye",81,"24yr 6mth","28 Sep 2000","183cm","83kg","Bendigo Pioneers","Midfield","Essendon Bombers"
13,"Cox, Nikolas",53,"23yr 2mth","15 Jan 2002","200cm","94kg","Northern Knights","Midfield","Essendon Bombers"
12,"Cutler, Tom",96,"30yr 1mth","20 Feb 1995","192cm","89kg","Oakleigh Chargers","Defender Midfield","Essendon Bombers"
16,"D'Ambrosio, Massimo R",44,"21yr 9mth","5 Jun 2003","178cm","80kg","Western Jets","Midfield","Essendon Bombers"
2,"Draper, Sam",76,"26yr 6mth","28 Sep 1998","205cm","105kg","South Adelaide","Ruck","Essendon Bombers"
22,"Durham, Sam",74,"23yr 8mth","9 Jul 2001","185cm","84kg","Richmond","Midfield","Essendon Bombers"
34,"Eyre, Josh R",0,"22yr 5mth","24 Oct 2002","198cm","85kg","Calder Cannons","Defender","Essendon Bombers"
10,"Francis, Aaron R",74,"27yr 7mth","10 Aug 1997","192cm","93kg","West Adelaide","Defender","Essendon Bombers"
35,"Guelfi, Matt",109,"27yr 7mth","14 Aug 1997","184cm","82kg","Claremont","Forward","Essendon Bombers"
33,"Ham, Brayden",45,"25yr 11mth","25 Apr 1999","182cm","77kg","Geelong Falcons","Midfield Forward","Essendon Bombers"
21,"Heppell, Dyson",253,"32yr 10mth","14 May 1992","189cm","86kg","Gippsland Power","Defender","Essendon Bombers"
19,"Hind, Nick",95,"30yr 7mth","19 Aug 1994","180cm","78kg","Essendon Vfl","Defender Forward","Essendon Bombers"
49,"Hird, Tom R",0,"24yr","28 Mar 2001","182cm","74kg","Essendon","Midfield Forward","Essendon Bombers"
8,"Hobbs, Ben",50,"21yr 6mth","16 Sep 2003","183cm","80kg","GWV Rebels","Forward","Essendon Bombers"
18,"Hurley, Michael",194,"34yr 10mth","1 Jun 1990","193cm","94kg","Northern Knights","Defender","Essendon Bombers"
23,"Jones, Harrison",55,"24yr 1mth","25 Feb 2001","196cm","88kg","Calder Cannons","Forward","Essendon Bombers"
29,"Kelly, Jake",168,"30yr 2mth","21 Jan 1995","190cm","90kg","Oakleigh Chargers","Defender Midfield","Essendon Bombers"
4,"Langford, Kyle",154,"28yr 4mth","1 Dec 1996","192cm","88kg","Northern Knights","Forward","Essendon Bombers"
15,"Laverde, Jayden",131,"28yr 11mth","12 Apr 1996","193cm","92kg","Western Jets","Defender","Essendon Bombers"
28,"Lord, Alastair",1,"21yr 4mth","26 Nov 2003","181cm","75kg","Norwood","Defender","Essendon Bombers"
37,"Martin, Nicholas",70,"23yr 11mth","3 Apr 2001","192cm","86kg","Colts","Defender","Essendon Bombers"
41,"McBride, Cian R",0,"23yr 11mth","19 Apr 2001","197cm","90kg","Ireland","Defender Ruck","Essendon Bombers"
