"No","Name","Games","Age","Date.of.Birth","Height","Weight","Origin","Position","Team"
36,"McDonagh, Garrett",0,"28yr 9mth","19 Jun 1996","183cm","81kg","Richmond VFL","Defender","Essendon Bombers"
43,"McDonald-Tipungwuti, Anthony",133,"31yr 11mth","22 Apr 1993","171cm","78kg","Gippsland Power","Forward","Essendon Bombers"
1,"McGrath, Andrew",160,"26yr 9mth","2 Jun 1998","180cm","83kg","Sandringham Dragons","Defender","Essendon Bombers"
29,"Menzie, Jye R",39,"22yr 5mth","28 Oct 2002","180cm","84kg","South Adelaide","Forward","Essendon Bombers"
7,"Merrett, Zachary",232,"29yr 5mth","3 Oct 1995","179cm","83kg","Sandringham Dragons","Midfield","Essendon Bombers"
3,"Parish, Darcy",162,"27yr 8mth","25 Jul 1997","180cm","81kg","Geelong Falcons","Midfield","Essendon Bombers"
16,"Perkins, Archie",82,"23yr","26 Mar 2002","188cm","85kg","Sandringham Dragons","Midfield","Essendon Bombers"
34,"Phillips, Andrew",82,"33yr 8mth","3 Jul 1991","201cm","101kg","Lauderdale","Forward Ruck","Essendon Bombers"
27,"Redman, Mason",127,"27yr 7mth","26 Aug 1997","187cm","87kg","Glenelg","Defender","Essendon Bombers"
31,"Reid, Zach",12,"23yr","2 Mar 2002","202cm","90kg","Gippsland Power","Defender","Essendon Bombers"
14,"Ridley, Jordan",96,"26yr 5mth","20 Oct 1998","195cm","94kg","Oakleigh Chargers","Defender","Essendon Bombers"
9,"Shiel, Dylan",223,"32yr","9 Mar 1993","182cm","84kg","Aspendale","Midfield","Essendon Bombers"
5,"Smith, Devon",182,"31yr 10mth","20 May 1993","176cm","78kg","Geelong Falcons","Forward","Essendon Bombers"
11,"Snelling, Will",65,"27yr 7mth","6 Aug 1997","175cm","79kg","West Adelaide","Forward","Essendon Bombers"
17,"Stewart, James",78,"31yr","4 Mar 1994","199cm","99kg","Sandringham Dragons","Defender","Essendon Bombers"
20,"Stringer, Jake",213,"30yr 11mth","25 Apr 1994","192cm","92kg","Bendigo Pioneers","Forward","Essendon Bombers"
20,"Voss, Patrick R",9,"21yr 9mth","29 Jun 2003","195cm","93kg","Giants Academy","Forward","Essendon Bombers"
40,"Wanganeen, Tex R",5,"21yr 5mth","10 Oct 2003","179cm","78kg","Oakleigh Chargers","Forward","Essendon Bombers"
45,"Waterman, Alec R",22,"28yr 7mth","19 Aug 1996","182cm","88kg","Claremont","Forward","Essendon Bombers"
20,"Wright, Peter",133,"28yr 6mth","8 Sep 1996","203cm","102kg","Calder Cannons","Forward","Essendon Bombers"
25,"Zerk-Thatcher, Brandon",77,"26yr 7mth","25 Aug 1998","195cm","91kg","Sturt","Defender","Essendon Bombers"
13,"Acres, Blake",171,"29yr 5mth","7 Oct 1995","193cm","92kg","West Perth","Midfield","Fremantle Dockers"
11,"Aish, James",184,"29yr 4mth","8 Nov 1995","183cm","83kg","Norwood","Defender","Fremantle Dockers"
24,"Amiss, Jye",50,"21yr 8mth","31 Jul 2003","196cm","86kg","East Perth","Forward","Fremantle Dockers"
41,"Banfield, Bailey",100,"27yr 1mth","26 Feb 1998","190cm","88kg","Claremont","Forward","Fremantle Dockers"
38,"Benning, Eric",0,"21yr 9mth","14 Jun 2003","195cm","83kg","Claremont","Ruck","Fremantle Dockers"
26,"Blakely, Connor R",78,"29yr","2 Mar 1996","189cm","89kg","Swan Districts","Midfield","Fremantle Dockers"
8,"Brayshaw, Andrew",149,"25yr 4mth","8 Nov 1999","185cm","88kg","Sandringham Dragons","Midfield","Fremantle Dockers"
17,"Brodie, Will",54,"26yr 7mth","23 Aug 1998","190cm","89kg","Murray Bushrangers","Midfield","Fremantle Dockers"
5,"Chapman, Heath",45,"23yr 2mth","31 Jan 2002","193cm","87kg","West Perth","Defender","Fremantle Dockers"
6,"Clark, Jordan",105,"24yr 5mth","16 Oct 2000","185cm","83kg","Claremont","Defender","Fremantle Dockers"
33,"Colyer, Travis",146,"33yr 7mth","24 Aug 1991","173cm","74kg","Claremont","Forward","Fremantle Dockers"
36,"Cox, Brennan",114,"26yr 7mth","13 Aug 1998","195cm","97kg","Woodville-West Torrens","Defender","Fremantle Dockers"
12,"Crowden, Mitchell R",42,"25yr 11mth","28 Apr 1999","175cm","85kg","Sturt","Forward","Fremantle Dockers"
4,"Darcy, Sean",110,"26yr 9mth","12 Jun 1998","203cm","111kg","Geelong Falcons","Ruck","Fremantle Dockers"
28,"Erasmus, Neil",25,"21yr 3mth","2 Dec 2003","190cm","82kg","Subiaco","Midfield Forward","Fremantle Dockers"
32,"Frederick, Michael",81,"24yr 10mth","17 May 2000","183cm","80kg","Eagles","Forward","Fremantle Dockers"
7,"Fyfe, Nathan",240,"33yr 6mth","18 Sep 1991","191cm","94kg","Claremont","Midfield","Fremantle Dockers"
29,"Hamling, Joel R",93,"31yr 11mth","9 Apr 1993","194cm","92kg","Claremont","Forward","Fremantle Dockers"
23,"Henry, Liam",55,"23yr 7mth","28 Aug 2001","180cm","76kg","Claremont","Forward","Fremantle Dockers"
15,"Hughes, Ethan",107,"30yr 3mth","7 Dec 1994","188cm","87kg","Swan Districts","Defender","Fremantle Dockers"
44,"Johnson, Matt",40,"22yr","16 Mar 2003","193cm","84kg","Subiaco","Midfield","Fremantle Dockers"
43,"Kuek, Sebit R",0,"24yr 4mth","11 Nov 2000","199cm","82kg","East Perth","Forward","Fremantle Dockers"
7,"Lobb, Rory",179,"32yr 1mth","9 Feb 1993","207cm","106kg","Swan Districts","Defender","Fremantle Dockers"
19,"Logue, Griffin",82,"26yr 11mth","13 Apr 1998","193cm","100kg","Swan Districts","Defender","Fremantle Dockers"
17,"Meek, Lloyd",56,"26yr 11mth","22 Apr 1998","203cm","109kg","Gwv Rebels","Ruck","Fremantle Dockers"
16,"Mundy, David",376,"39yr 8mth","20 Jul 1985","192cm","92kg","Murray Bushrangers","Midfield","Fremantle Dockers"
30,"O'Driscoll, Nathan",27,"22yr 10mth","17 May 2002","188cm","82kg","Perth","Midfield","Fremantle Dockers"
25,"Pearce, Alex",125,"29yr 9mth","9 Jun 1995","201cm","98kg","Devonport","Defender","Fremantle Dockers"
13,"Ryan, Luke",158,"29yr 1mth","6 Feb 1996","186cm","92kg","Coburg","Defender","Fremantle Dockers"
8,"Schultz, Lachlan",113,"27yr 4mth","30 Nov 1997","178cm","81kg","Williamstown","Forward","Fremantle Dockers"
3,"Serong, Caleb",106,"24yr 1mth","9 Feb 2001","180cm","87kg","Gippsland Power","Midfield","Fremantle Dockers"
1,"Sturt, Sam",31,"24yr 10mth","12 May 2000","190cm","81kg","Dandenong Stingrays","Forward","Fremantle Dockers"
39,"Switkowski, Sam",89,"28yr 4mth","20 Nov 1996","179cm","74kg","Box Hill Hawks","Forward","Fremantle Dockers"
20,"Taberner, Matthew",125,"31yr 9mth","17 Jun 1993","198cm","97kg","Murray Bushrangers","Forward","Fremantle Dockers"
35,"Treacy, Josh",59,"22yr 7mth","4 Aug 2002","195cm","92kg","Bendigo Pioneers","Forward","Fremantle Dockers"
13,"Tucker, Darcy",152,"28yr 2mth","23 Jan 1997","184cm","83kg","North Ballarat Rebels","Defender Midfield","Fremantle Dockers"
29,"Valente, Luke",0,"24yr 10mth","8 May 2000","186cm","85kg","Norwood","Midfield","Fremantle Dockers"
31,"Walker, Brandon",66,"22yr 5mth","17 Oct 2002","186cm","81kg","East Fremantle","Defender","Fremantle Dockers"
10,"Walters, Michael",239,"34yr 2mth","7 Jan 1991","176cm","77kg","Swan Districts","Forward","Fremantle Dockers"
34,"Western, Joel",4,"22yr 5mth","12 Oct 2002","174cm","70kg","Claremont","Midfield","Fremantle Dockers"
14,"Wilson, Nathan",155,"32yr 2mth","7 Jan 1993","185cm","83kg","WA","Defender","Fremantle Dockers"
23,"Worner, Karl R",10,"22yr 9mth","16 Jun 2002","188cm","83kg","Oakleigh Chargers","Defender","Fremantle Dockers"
26,"Young, Hayden",80,"23yr 11mth","11 Apr 2001","189cm","88kg","Dandenong Stingrays","Midfield","Fremantle Dockers"
30,"Atkins, Tom R",130,"29yr 6mth","18 Sep 1995","180cm","86kg","Geelong","Midfield","Geelong Cats"
24,"Bews, Jed",171,"31yr 3mth","14 Dec 1993","186cm","90kg","Geelong Falcons","Defender","Geelong Cats"
46,"Blicavs, Mark",273,"34yr","28 Mar 1991","198cm","101kg","Geelong Vfl","Midfield","Geelong Cats"
5,"Cameron, Jeremy",257,"32yr","1 Apr 1993","196cm","94kg","Dartmoor","Forward","Geelong Cats"
15,"Ceglar, Jonathon",110,"34yr 1mth","14 Feb 1991","204cm","99kg","Murray Bushrangers","Ruck","Geelong Cats"
45,"Close, Bradley R",104,"26yr 8mth","30 Jul 1998","183cm","77kg","Glenelg","Forward","Geelong Cats"
6,"Conway, Toby",6,"21yr 11mth","24 Apr 2003","206cm","101kg","Geelong Falcons","Ruck","Geelong Cats"
40,"Dahlhaus, Luke",225,"32yr 7mth","21 Aug 1992","179cm","77kg","Geelong Falcons","Forward","Geelong Cats"
35,"Dangerfield, Patrick",340,"34yr 11mth","5 Apr 1990","189cm","97kg","Geelong Falcons","Midfield","Geelong Cats"
16,"De Koning, Sam",65,"24yr 1mth","26 Feb 2001","204cm","97kg","Dandenong Stingrays","Defender","Geelong Cats"
28,"Dempsey, Ollie R",35,"22yr 2mth","7 Jan 2003","187cm","74kg","Carey Grammar","Midfield","Geelong Cats"
22,"Duncan, Mitchell",296,"33yr 9mth","10 Jun 1991","188cm","84kg","East Perth","Defender","Geelong Cats"
44,"Evans, Francis R",36,"23yr 7mth","23 Aug 2001","182cm","85kg","Calder Cannons","Forward","Geelong Cats"
29,"Guthrie, Cameron",240,"32yr 7mth","19 Aug 1992","187cm","87kg","Calder Cannons","Midfield","Geelong Cats"
39,"Guthrie, Zach",105,"26yr 9mth","30 Jun 1998","188cm","84kg","Calder Cannons","Defender","Geelong Cats"
26,"Hawkins, Tom",359,"36yr 8mth","21 Jul 1988","197cm","105kg","Melbourne Grammar","Forward","Geelong Cats"
38,"Henry, Jack",146,"26yr 7mth","29 Aug 1998","192cm","96kg","Geelong Falcons","Defender","Geelong Cats"
4,"Higgins, Shaun",260,"37yr","4 Mar 1988","184cm","89kg","Geelong Falcons","Forward","Geelong Cats"
9,"Holmes, Max",79,"22yr 7mth","29 Aug 2002","190cm","85kg","Sandringham Dragons","Defender Midfield","Geelong Cats"
10,"Knevitt, Mitchell",17,"22yr 2mth","8 Jan 2003","193cm","85kg","Geelong Falcons","Midfield","Geelong Cats"
8,"Kolodjashnij, Jake",198,"29yr 7mth","9 Aug 1995","193cm","100kg","Launceston","Defender","Geelong Cats"
25,"Kroeger, Flynn",0,"21yr 8mth","23 Jul 2003","185cm","85kg","Eastern Ranges","Midfield","Geelong Cats"
27,"Menegola, Sam",117,"33yr","7 Mar 1992","189cm","89kg","Subiaco","Midfield","Geelong Cats"
32,"Miers, Gryan",134,"26yr","30 Mar 1999","179cm","81kg","Geelong Falcons","Forward","Geelong Cats"
19,"Narkle, Quinton R",57,"27yr 3mth","3 Dec 1997","182cm","81kg","Perth","Forward","Geelong Cats"
33,"Neale, Shannon",23,"22yr 8mth","25 Jul 2002","203cm","101kg","South Fremantle","Forward","Geelong Cats"
42,"O'Connor, Mark",125,"28yr 2mth","17 Jan 1997","189cm","88kg","Ireland","Defender Midfield","Geelong Cats"
3,"Parfitt, Brandan",130,"26yr 11mth","27 Apr 1998","180cm","82kg","Nt Thunder","Midfield","Geelong Cats"
27,"Ratugolea, Esava",99,"26yr 8mth","24 Jul 1998","197cm","108kg","Murray Bushrangers","Defender","Geelong Cats"
23,"Rohan, Gary",204,"33yr 9mth","7 Jun 1991","189cm","92kg","Geelong Falcons","Forward","Geelong Cats"
14,"Selwood, Joel",355,"36yr 10mth","26 May 1988","183cm","84kg","Bendigo","Midfield","Geelong Cats"
37,"Simpson, Sam",25,"26yr 9mth","14 Jun 1998","183cm","75kg","Geelong Falcons","Midfield Forward","Geelong Cats"
7,"Smith, Isaac",280,"36yr 3mth","30 Dec 1988","188cm","83kg","North Ballarat","Midfield Forward","Geelong Cats"
1,"Stanley, Rhys",210,"34yr 4mth","1 Dec 1990","200cm","102kg","West Adelaide","Ruck","Geelong Cats"
18,"Stengle, Tyson",88,"26yr 5mth","19 Oct 1998","175cm","71kg","Woodville West Torrens","Forward","Geelong Cats"
21,"Stephens, Cooper",7,"24yr 2mth","17 Jan 2001","188cm","86kg","Geelong Falcons","Midfield","Geelong Cats"
21,"Stevens, Nick",0,"23yr","23 Mar 2002","193cm","85kg","Gwv Rebels","Midfield","Geelong Cats"
44,"Stewart, Thomas",173,"32yr","15 Mar 1993","190cm","88kg","Geelong Vfl","Defender","Geelong Cats"
36,"Tsapatolis, Paul R",0,"22yr 9mth","20 Jun 2002","202cm","99kg","Basketball","Ruck","Geelong Cats"
2,"Tuohy, Zach",288,"35yr 3mth","10 Dec 1989","187cm","94kg","County Laois, Ireland","Midfield","Geelong Cats"
11,"Whyte, Cooper",1,"22yr 1mth","24 Feb 2003","181cm","78kg","Geelong Falcons","Midfield Forward","Geelong Cats"
41,"Williams, Zane R",0,"23yr 9mth","5 Jun 2001","183cm","71kg","Woodville-West Torrens","Forward","Geelong Cats"
20,"Willis, James",0,"21yr 8mth","10 Jul 2003","181cm","81kg","North Adelaide","Midfield","Geelong Cats"
9,"Ainsworth, Ben",135,"27yr 1mth","10 Feb 1998","178cm","77kg","Gippsland Power","Forward","Gold Coast Suns"
15,"Anderson, Noah",106,"24yr 1mth","17 Feb 2001","192cm","88kg","Oakleigh Chargers","Midfield","Gold Coast Suns"
1,"Andrew, Mac",42,"21yr 3mth","4 Dec 2003","202cm","84kg","Dandenong Stingrays","Defender","Gold Coast Suns"
32,"Atkins, Rory",138,"30yr 8mth","12 Jul 1994","185cm","82kg","Calder Cannons","Defender","Gold Coast Suns"
10,"Ballard, Charlie",134,"25yr 8mth","23 Jul 1999","196cm","95kg","Sturt","Defender","Gold Coast Suns"
12,"Bowes, Jack",125,"27yr 2mth","26 Jan 1998","189cm","85kg","Cairns","Midfield","Gold Coast Suns"
41,"Brock, Sandy R",0,"22yr 3mth","14 Dec 2002","198cm","90kg","Peel Thunder","Defender","Gold Coast Suns"
35,"Budarick, Connor",38,"23yr 11mth","6 Apr 2001","175cm","75kg","Gold Coast Suns Academy","Defender","Gold Coast Suns"
21,"Burgess, Chris R",43,"29yr 4mth","26 Nov 1995","193cm","97kg","","Forward","Gold Coast Suns"
30,"Casboult, Levi",198,"35yr","15 Mar 1990","199cm","104kg","Dandenong Stingrays","Forward","Gold Coast Suns"
18,"Chol, Mabior",88,"28yr 2mth","29 Jan 1997","200cm","98kg","Aspley","Forward","Gold Coast Suns"
25,"Collins, Samuel",129,"30yr 9mth","15 Jun 1994","194cm","98kg","Box Hill Hawks","Defender","Gold Coast Suns"
48,"Conroy, Matt R",0,"24yr 4mth","7 Nov 2000","199cm","95kg","Gold Coast Suns Academy","Ruck","Gold Coast Suns"
33,"Constable, Charlie",16,"25yr 10mth","18 May 1999","192cm","86kg","Sandringham Dragons","Defender Midfield","Gold Coast Suns"
19,"Corbett, Josh",41,"28yr 11mth","23 Apr 1996","190cm","88kg","Werribee","Forward","Gold Coast Suns"
5,"Davies, Alex",32,"23yr","18 Mar 2002","193cm","89kg","Suns Academy","Midfield","Gold Coast Suns"
14,"Day, Sam",157,"32yr 6mth","6 Sep 1992","196cm","106kg","Sturt","Forward","Gold Coast Suns"
4,"Ellis, Brandon",251,"31yr 7mth","3 Aug 1993","181cm","81kg","Calder Cannons","Midfield","Gold Coast Suns"
50,"Farrar, Jy",34,"28yr 3mth","7 Dec 1996","190cm","81kg","Scotch OC","Defender","Gold Coast Suns"
37,"Faulkhead, Oskar R",0,"22yr 1mth","11 Feb 2003","183cm","77kg","Bendigo Pioneers","Midfield Forward","Gold Coast Suns"
8,"Fiorini, Brayden",105,"27yr 7mth","22 Aug 1997","187cm","82kg","Northern Knights","Midfield","Gold Coast Suns"
3,"Flanders, Sam",67,"23yr 8mth","24 Jul 2001","183cm","81kg","Gippsland Power","Defender Midfield","Gold Coast Suns"
46,"Graham, Caleb",37,"24yr 6mth","12 Sep 2000","194cm","97kg","Gold Coast Academy","Defender","Gold Coast Suns"
20,"Hollands, Elijah",36,"22yr 11mth","25 Apr 2002","189cm","86kg","Murray Bushrangers","Forward","Gold Coast Suns"
7,"Holman, Nicholas",133,"29yr 10mth","29 May 1995","188cm","86kg","Central District","Midfield Forward","Gold Coast Suns"
40,"Jeffrey, Joel",30,"23yr","12 Mar 2002","192cm","86kg","Suns Academy","Defender","Gold Coast Suns"
34,"King, Ben",97,"24yr 8mth","7 Jul 2000","202cm","98kg","Sandringham Dragons","Forward","Gold Coast Suns"
23,"Lemmens, Sean",148,"30yr 4mth","2 Nov 1994","184cm","81kg","Port Adelaide","Defender","Gold Coast Suns"
12,"Lukosius, Jack",118,"24yr 7mth","9 Aug 2000","195cm","91kg","Woodville-West Torrens","Forward","Gold Coast Suns"
44,"Macpherson, Darcy",97,"27yr 5mth","29 Oct 1997","175cm","76kg","Northern Knights","Defender","Gold Coast Suns"
37,"Markov, Oleg R",86,"28yr 10mth","8 May 1996","188cm","85kg","North Adelaide","Defender","Gold Coast Suns"
43,"McLennan, Jez R",0,"24yr 6mth","7 Sep 2000","185cm","85kg","Central District","Defender","Gold Coast Suns"
11,"Miller, Touk",193,"29yr 1mth","22 Feb 1996","178cm","84kg","Calder Cannons","Midfield","Gold Coast Suns"
21,"Moyle, Ned",10,"23yr 1mth","15 Feb 2002","206cm","104kg","Oakleigh Chargers","Ruck","Gold Coast Suns"
42,"Murtagh, Patrick R",0,"25yr 1mth","11 Feb 2000","196cm","98kg","Gold Coast Academy","Forward Ruck","Gold Coast Suns"
38,"Nicholls, Rhys R",0,"22yr 6mth","30 Sep 2002","188cm","79kg","Suns Academy","Defender","Gold Coast Suns"
47,"Oea, Hewago",13,"23yr 4mth","13 Nov 2001","177cm","74kg","Suns Academy","Midfield Forward","Gold Coast Suns"
27,"Powell, Wil",107,"25yr 7mth","26 Aug 1999","188cm","87kg","Claremont","Defender","Gold Coast Suns"
23,"Rankine, Izak",86,"24yr 11mth","23 Apr 2000","179cm","82kg","West Adelaide","Forward","Gold Coast Suns"
41,"Rosas, Malcolm R",45,"23yr 9mth","27 Jun 2001","180cm","73kg","NT Thunder","Forward","Gold Coast Suns"
18,"Rowell, Matt",87,"23yr 9mth","1 Jul 2001","180cm","82kg","Oakleigh Chargers","Midfield","Gold Coast Suns"
6,"Sexton, Alex",182,"31yr 3mth","3 Dec 1993","186cm","82kg","Redland","Defender","Gold Coast Suns"
14,"Sharp, Jeremy R",49,"23yr 7mth","13 Aug 2001","189cm","81kg","East Fremantle","Midfield","Gold Coast Suns"
24,"Swallow, David",240,"32yr 4mth","19 Nov 1992","186cm","87kg","East Fremantle","Defender Forward","Gold Coast Suns"
16,"Thompson, Rory",106,"34yr","12 Mar 1991","200cm","100kg","Southport Sharks","Defender","Gold Coast Suns"
21,"Tsitas, James R",5,"30yr","3 Mar 1995","181cm","83kg","Geelong Falcons","Forward","Gold Coast Suns"
32,"Uwland, Bodhi R",26,"21yr 8mth","25 Jul 2003","188cm","89kg","Allies","Defender","Gold Coast Suns"
14,"Weller, Lachlan",144,"29yr 1mth","23 Feb 1996","182cm","80kg","Southport","Defender","Gold Coast Suns"
28,"Witts, Jarrod",183,"32yr 6mth","13 Sep 1992","209cm","110kg","Sydney University","Ruck","Gold Coast Suns"
21,"Aleer, Leek",12,"23yr 7mth","21 Aug 2001","194cm","88kg","Central District","Defender","GWS Giants"
9,"Angwin, Ryan",20,"22yr 3mth","12 Dec 2002","185cm","81kg","Gippsland Power","Midfield","GWS Giants"
7,"Ash, Lachlan",104,"23yr 9mth","21 Jun 2001","188cm","85kg","Murray Bushrangers","Defender","GWS Giants"
31,"Brander, Jarrod",27,"26yr 1mth","11 Feb 1999","195cm","92kg","Bendigo Pioneers","Midfield","GWS Giants"
32,"Briggs, Kieren",52,"25yr 5mth","6 Oct 1999","201cm","108kg","Pennant Hills","Ruck","GWS Giants"
46,"Brown, Callum R",44,"24yr 7mth","15 Aug 2000","188cm","95kg","County Derry","Forward","GWS Giants"
4,"Bruhn, Tanner",66,"22yr 10mth","27 May 2002","184cm","83kg","Geelong Falcons","Midfield","GWS Giants"
44,"Buckley, Jack",69,"27yr 3mth","17 Dec 1997","195cm","91kg","Swans Academy","Defender","GWS Giants"
17,"Callaghan, Finn",53,"21yr 11mth","26 Apr 2003","192cm","86kg","Sandringham Dragons","Midfield","GWS Giants"
3,"Coniglio, Stephen",220,"31yr 3mth","15 Dec 1993","182cm","83kg","Swan Districts","Midfield","GWS Giants"
44,"Cumming, Isaac",84,"26yr 7mth","11 Aug 1998","188cm","84kg","Broken Hill","Midfield","GWS Giants"
16,"Daniels, Brent",109,"26yr","9 Mar 1999","172cm","75kg","Bendigo Pioneers","Forward","GWS Giants"
1,"Davis, Phil R",192,"34yr 7mth","30 Aug 1990","197cm","94kg","North Adelaide","Defender","GWS Giants"
24,"De Boer, Matthew",223,"35yr","10 Mar 1990","189cm","88kg","Claremont","Midfield Forward","GWS Giants"
45,"Derksen, Wade R",0,"23yr 9mth","18 Jun 2001","194cm","90kg","Peel Thunder","Forward","GWS Giants"
34,"Fahey, Josh R",7,"21yr 4mth","11 Nov 2003","187cm","82kg","GWS Academy","Defender","GWS Giants"
29,"Fleeton, Cameron",2,"22yr 9mth","17 Jun 2002","192cm","86kg","Geelong Falcons","Defender","GWS Giants"
25,"Flynn, Matthew",38,"27yr 6mth","13 Sep 1997","202cm","107kg","Narrandera","Ruck","GWS Giants"
12,"Green, Tom",94,"24yr 2mth","23 Jan 2001","192cm","92kg","GWS Giants Academy","Midfield","GWS Giants"
4,"Greene, Toby",242,"31yr 6mth","25 Sep 1993","182cm","85kg","Oakleigh Chargers","Forward","GWS Giants"
43,"Hamilton, Cooper R",8,"21yr 6mth","24 Sep 2003","185cm","88kg","Bendigo Pioneers","Midfield","GWS Giants"
26,"Haynes, Nick",214,"32yr 10mth","18 May 1992","192cm","88kg","Dandenong Stingrays","Defender","GWS Giants"
23,"Hill, Bobby",91,"25yr 1mth","9 Feb 2000","175cm","71kg","Perth","Forward","GWS Giants"
27,"Himmelberg, Harrison",180,"28yr 10mth","8 May 1996","195cm","94kg","Mangoplah Cookardinia United Eastlakes","Defender","GWS Giants"
23,"Hogan, Jesse",166,"30yr 1mth","12 Feb 1995","196cm","100kg","Claremont","Forward","GWS Giants"
2,"Hopper, Jacob",145,"28yr 1mth","6 Feb 1997","187cm","86kg","North Ballarat Rebels","Midfield","GWS Giants"
39,"Idun, Connor",96,"24yr 8mth","29 Jul 2000","193cm","92kg","Geelong Falcons","Defender","GWS Giants"
25,"Keeffe, Lachlan R",119,"34yr 11mth","14 Apr 1990","204cm","101kg","Queensland Under 18s","Ruck","GWS Giants"
22,"Kelly, Joshua",218,"30yr 1mth","12 Feb 1995","184cm","82kg","Sandringham Dragons","Midfield","GWS Giants"
40,"Kennedy, Adam",153,"32yr 8mth","12 Jul 1992","183cm","80kg","Western Jets","Defender Forward","GWS Giants"
38,"Lloyd, Daniel R",101,"33yr 1mth","18 Feb 1992","187cm","83kg","Killarney Vale","Forward","GWS Giants"
33,"O'Halloran, Xavier",70,"24yr 8mth","11 Jul 2000","187cm","89kg","Western Jets","Midfield Forward","GWS Giants"
25,"Peatling, James",48,"24yr 7mth","21 Aug 2000","186cm","79kg","GWS Giants","Midfield","GWS Giants"
12,"Perryman, Harry",132,"26yr 3mth","19 Dec 1998","187cm","83kg","Collingullie","Defender","GWS Giants"
11,"Preuss, Braydon",28,"29yr 9mth","16 Jun 1995","207cm","118kg","Surfers Paradise","Ruck","GWS Giants"
26,"Riccardi, Jake",69,"25yr 4mth","7 Nov 1999","198cm","100kg","Werribee","Forward","GWS Giants"
35,"Shaw, Will R",0,"23yr 9mth","14 Jun 2001","181cm","67kg","Bendigo Pioneers","Defender Midfield","GWS Giants"
28,"Sproule, Zachary R",17,"26yr 10mth","12 May 1998","198cm","94kg","Albury","Forward","GWS Giants"
42,"Stein, Jake R",20,"31yr 2mth","17 Jan 1994","195cm","96kg","Penrith","Defender","GWS Giants"
18,"Stone, Conor",16,"22yr 11mth","22 Apr 2002","189cm","87kg","Oakleigh Chargers","Forward","GWS Giants"
14,"Taranto, Tim",155,"27yr 2mth","28 Jan 1998","188cm","87kg","Sandringham Dragons","Midfield","GWS Giants"
15,"Taylor, Sam",114,"25yr 10mth","5 May 1999","198cm","95kg","Swan Districts","Defender","GWS Giants"
8,"Ward, Callan",318,"34yr 11mth","10 Apr 1990","187cm","83kg","Western Jets","Midfield","GWS Giants"
10,"Wehr, Jacob R",28,"26yr 8mth","5 Jul 1998","185cm","75kg","Woodville-west Torrens","Midfield","GWS Giants"
6,"Whitfield, Lachie",237,"30yr 8mth","18 Jul 1994","185cm","83kg","Dandenong Stingrays","Defender","GWS Giants"
36,"Blanck, James R",24,"24yr 4mth","20 Nov 2000","196cm","93kg","Box Hill Hawks","Defender","Hawthorn Hawks"
29,"Bramble, Lachlan R",57,"26yr 11mth","19 Apr 1998","182cm","77kg","Box Hill","Defender","Hawthorn Hawks"
22,"Breust, Luke",301,"34yr 4mth","11 Nov 1990","182cm","82kg","Temora","Forward","Hawthorn Hawks"
10,"Brockman, Tyler",39,"22yr 4mth","22 Nov 2002","180cm","80kg","Subiaco","Forward","Hawthorn Hawks"
30,"Butler, Sam",19,"22yr 1mth","10 Feb 2003","184cm","81kg","GWV Rebels","Forward","Hawthorn Hawks"
45,"Callow, Jackson R",3,"22yr 9mth","11 Jun 2002","194cm","95kg","Norwood","Forward","Hawthorn Hawks"
