gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2022R0201,2022,R2,2022-03-24,Western Bulldogs,Carlton,13.12,16.6,Docklands,34961.0,20.8,11.6,0.0
2022R0202,2022,R2,2022-03-25,Sydney,Geelong,17.5,10.17,S.C.G.,36578.0,23.1,17.5,18.0
2022R0203,2022,R2,2022-03-26,Collingwood,Adelaide,15.1,8.1,M.C.G.,36843.0,24.3,9.7,0.0
2022R0204,2022,R2,2022-03-26,Essendon,Brisbane Lions,10.15,15.7,Docklands,30631.0,24.3,9.7,0.0
2022R0205,2022,R2,2022-03-26,Port Adelaide,Hawthorn,7.14,19.6,Adelaide Oval,30267.0,23.8,11.6,0.0
2022R0206,2022,R2,2022-03-26,Gold Coast,Melbourne,10.9,12.1,Carrara,8280.0,27.2,20.0,49.4
2022R0207,2022,R2,2022-03-27,North Melbourne,West Coast,10.14,8.11,Docklands,14204.0,29.1,11.2,0.0
2022R0208,2022,R2,2022-03-27,Richmond,Greater Western Sydney,16.13,10.13,M.C.G.,28813.0,29.1,11.2,0.0
2022R0209,2022,R2,2022-03-27,Fremantle,St Kilda,8.7,9.11,Perth Stadium,25284.0,24.9,20.7,0.0
2022R0301,2022,R3,2022-03-31,Western Bulldogs,Sydney,9.17,9.6,Docklands,24327.0,21.9,14.1,2.26
2022R0302,2022,R3,2022-04-01,Melbourne,Essendon,14.15,10.1,M.C.G.,44503.0,20.0,12.7,0.0
2022R0303,2022,R3,2022-04-01,Adelaide,Port Adelaide,15.6,13.14,Adelaide Oval,39190.0,24.5,11.3,0.0
2022R0304,2022,R3,2022-04-02,Greater Western Sydney,Gold Coast,12.11,8.9,Sydney Showground,4014.0,22.9,15.0,0.4
2022R0305,2022,R3,2022-04-02,Collingwood,Geelong,13.13,16.8,M.C.G.,52974.0,17.7,12.7,0.6
2022R0306,2022,R3,2022-04-02,Brisbane Lions,North Melbourne,23.18,7.6,Gabba,19817.0,27.6,17.4,0.0
2022R0307,2022,R3,2022-04-03,Carlton,Hawthorn,11.8,11.7,M.C.G.,66317.0,17.8,13.8,1.8
2022R0308,2022,R3,2022-04-03,St Kilda,Richmond,18.9,13.6,Docklands,31933.0,17.8,13.8,1.8
2022R0309,2022,R3,2022-04-03,West Coast,Fremantle,7.5,15.12,Perth Stadium,38920.0,31.3,22.2,0.0
2022R0401,2022,R4,2022-04-07,Port Adelaide,Melbourne,4.12,10.8,Adelaide Oval,23058.0,23.3,14.5,0.0
2022R0402,2022,R4,2022-04-08,Geelong,Brisbane Lions,11.14,11.4,Kardinia Park,20505.0,23.7,11.5,0.0
2022R0403,2022,R4,2022-04-09,Sydney,North Melbourne,13.8,12.3,S.C.G.,22307.0,24.2,17.7,11.2
2022R0404,2022,R4,2022-04-09,Collingwood,West Coast,10.14,14.3,Docklands,25897.0,25.5,15.6,0.0
2022R0405,2022,R4,2022-04-09,Fremantle,Greater Western Sydney,13.1,8.6,Perth Stadium,30201.0,22.5,13.7,7.6
2022R0406,2022,R4,2022-04-09,Richmond,Western Bulldogs,15.9,7.19,M.C.G.,43645.0,25.5,15.6,0.0
2022R0407,2022,R4,2022-04-10,Essendon,Adelaide,15.13,15.9,Docklands,24906.0,26.6,15.1,0.0
2022R0408,2022,R4,2022-04-10,Hawthorn,St Kilda,10.13,22.1,M.C.G.,30926.0,26.6,15.1,0.0
2022R0409,2022,R4,2022-04-10,Gold Coast,Carlton,13.14,8.14,Carrara,14349.0,26.4,19.1,1.6
2022R0501,2022,R5,2022-04-14,Brisbane Lions,Collingwood,15.8,14.7,Gabba,32312.0,26.2,16.7,1.2
2022R0502,2022,R5,2022-04-15,North Melbourne,Western Bulldogs,11.5,21.13,Docklands,32162.0,26.4,12.0,0.0
2022R0503,2022,R5,2022-04-15,West Coast,Sydney,9.4,18.13,Perth Stadium,42888.0,29.2,14.0,2.26
2022R0504,2022,R5,2022-04-16,St Kilda,Gold Coast,13.9,9.7,Docklands,18724.0,28.6,13.8,0.0
2022R0505,2022,R5,2022-04-16,Adelaide,Richmond,15.11,12.1,Adelaide Oval,33031.0,27.2,12.8,0.0
2022R0506,2022,R5,2022-04-16,Melbourne,Greater Western Sydney,19.6,7.11,M.C.G.,20791.0,28.6,13.8,0.0
2022R0507,2022,R5,2022-04-17,Carlton,Port Adelaide,14.1,13.13,M.C.G.,33433.0,28.4,16.3,0.0
2022R0508,2022,R5,2022-04-17,Essendon,Fremantle,8.11,16.11,Docklands,23935.0,28.4,16.3,0.0
2022R0509,2022,R5,2022-04-18,Hawthorn,Geelong,14.8,11.14,M.C.G.,48030.0,16.9,15.5,13.2
2022R0601,2022,R6,2022-04-22,Greater Western Sydney,St Kilda,8.12,10.17,Manuka Oval,11207.0,16.6,3.1,0.0
2022R0602,2022,R6,2022-04-23,Western Bulldogs,Adelaide,9.8,8.15,Eureka Stadium,10412.0,18.2,7.3,0.0
2022R0603,2022,R6,2022-04-23,Port Adelaide,West Coast,18.9,4.9,Adelaide Oval,28587.0,24.5,11.2,0.0
2022R0604,2022,R6,2022-04-23,Fremantle,Carlton,14.13,9.8,Perth Stadium,42302.0,26.5,13.9,0.0
2022R0605,2022,R6,2022-04-24,North Melbourne,Geelong,9.7,17.19,Bellerive Oval,8663.0,19.3,7.3,0.0
2022R0606,2022,R6,2022-04-24,Gold Coast,Brisbane Lions,11.14,21.6,Carrara,14897.0,23.4,17.6,8.2
2022R0607,2022,R6,2022-04-24,Richmond,Melbourne,8.6,9.22,M.C.G.,70334.0,18.2,6.8,0.0
2022R0608,2022,R6,2022-04-25,Hawthorn,Sydney,10.8,16.13,York Park,14107.0,18.0,7.6,0.0
2022R0609,2022,R6,2022-04-25,Essendon,Collingwood,12.1,15.3,M.C.G.,84205.0,23.3,6.6,0.0
2022R0701,2022,R7,2022-04-29,West Coast,Richmond,8.8,25.15,Perth Stadium,39430.0,22.5,7.4,3.2
2022R0702,2022,R7,2022-04-30,Geelong,Fremantle,10.6,10.9,Kardinia Park,20136.0,18.1,11.0,37.0
2022R0703,2022,R7,2022-04-30,Adelaide,Greater Western Sydney,8.6,17.11,Adelaide Oval,31811.0,19.3,15.4,4.8
2022R0704,2022,R7,2022-04-30,Melbourne,Hawthorn,13.13,11.15,M.C.G.,39425.0,18.0,11.0,34.0
2022R0705,2022,R7,2022-04-30,Carlton,North Melbourne,17.12,10.4,Docklands,40129.0,18.0,11.0,34.0
2022R0706,2022,R7,2022-04-30,St Kilda,Port Adelaide,4.18,5.13,Cazaly's Stadium,6645.0,26.8,22.7,9.4
2022R0707,2022,R7,2022-05-01,Collingwood,Gold Coast,17.13,14.6,M.C.G.,28916.0,19.8,10.8,0.2
2022R0708,2022,R7,2022-05-01,Western Bulldogs,Essendon,16.7,10.11,Docklands,33677.0,19.8,10.8,0.2
2022R0709,2022,R7,2022-05-01,Sydney,Brisbane Lions,13.11,17.11,S.C.G.,30110.0,21.8,13.6,7.1
2022R0801,2022,R8,2022-05-06,Port Adelaide,Western Bulldogs,12.14,10.9,Adelaide Oval,29290.0,15.8,5.3,8.6
2022R0802,2022,R8,2022-05-06,Fremantle,North Melbourne,15.12,3.6,Perth Stadium,37040.0,23.4,9.0,0.0
2022R0803,2022,R8,2022-05-07,Richmond,Collingwood,17.11,12.14,M.C.G.,64481.0,15.3,8.5,2.5
2022R0804,2022,R8,2022-05-07,Sydney,Gold Coast,8.13,10.15,S.C.G.,20420.0,19.9,9.3,0.0
2022R0805,2022,R8,2022-05-07,Greater Western Sydney,Geelong,4.11,12.16,Manuka Oval,11661.0,12.7,2.9,0.0
2022R0806,2022,R8,2022-05-07,Essendon,Hawthorn,16.12,11.15,Docklands,33042.0,15.3,8.5,2.5
2022R0807,2022,R8,2022-05-07,Brisbane Lions,West Coast,16.9,4.6,Gabba,19331.0,25.3,18.8,0.4
2022R0808,2022,R8,2022-05-08,Melbourne,St Kilda,14.9,8.7,M.C.G.,35767.0,15.0,9.3,0.2
2022R0809,2022,R8,2022-05-08,Carlton,Adelaide,17.14,10.8,Docklands,25376.0,15.0,9.3,0.2
2022R0901,2022,R9,2022-05-13,Collingwood,Western Bulldogs,7.9,14.15,Docklands,44029.0,17.5,13.3,1.4
2022R0902,2022,R9,2022-05-14,Hawthorn,Richmond,14.1,17.15,M.C.G.,40663.0,18.1,14.0,0.4
2022R0903,2022,R9,2022-05-14,North Melbourne,Port Adelaide,6.1,17.13,Bellerive Oval,5114.0,17.7,9.8,3.2
2022R0904,2022,R9,2022-05-14,St Kilda,Geelong,13.12,11.14,Docklands,32517.0,18.1,14.0,0.4
2022R0905,2022,R9,2022-05-14,Sydney,Essendon,14.21,6.11,S.C.G.,27464.0,25.6,17.7,7.0
2022R0906,2022,R9,2022-05-14,Adelaide,Brisbane Lions,9.12,16.6,Adelaide Oval,36579.0,21.3,16.8,0.0
2022R0907,2022,R9,2022-05-15,Gold Coast,Fremantle,10.9,4.9,Carrara,6136.0,24.3,20.1,19.4
2022R0908,2022,R9,2022-05-15,Greater Western Sydney,Carlton,11.9,15.15,Sydney Showground,8754.0,25.7,17.5,2.26
2022R0909,2022,R9,2022-05-15,West Coast,Melbourne,5.8,16.16,Perth Stadium,27488.0,19.5,12.6,2.0
2022R1001,2022,R10,2022-05-20,Carlton,Sydney,15.12,13.9,Docklands,44769.0,14.2,10.0,0.0
2022R1002,2022,R10,2022-05-21,Western Bulldogs,Gold Coast,15.16,13.9,Eureka Stadium,6040.0,17.1,4.3,0.0
2022R1003,2022,R10,2022-05-21,Geelong,Port Adelaide,11.16,7.5,Kardinia Park,18721.0,15.1,3.7,0.0
2022R1004,2022,R10,2022-05-21,North Melbourne,Melbourne,8.5,14.16,Docklands,13422.0,15.6,2.6,4.0
2022R1005,2022,R10,2022-05-21,Adelaide,St Kilda,9.15,14.6,Adelaide Oval,28783.0,19.4,6.1,0.0
2022R1006,2022,R10,2022-05-21,Richmond,Essendon,11.14,7.6,M.C.G.,70226.0,15.6,2.6,4.0
2022R1007,2022,R10,2022-05-22,Greater Western Sydney,West Coast,21.12,13.8,Sydney Showground,5057.0,18.7,12.9,10.0
2022R1008,2022,R10,2022-05-22,Hawthorn,Brisbane Lions,18.9,17.1,York Park,12007.0,13.9,2.6,0.0
2022R1009,2022,R10,2022-05-22,Fremantle,Collingwood,6.8,12.8,Perth Stadium,35534.0,24.2,10.4,0.0
2022R1101,2022,R11,2022-05-27,Sydney,Richmond,16.1,15.1,S.C.G.,31387.0,22.5,12.0,0.0
2022R1102,2022,R11,2022-05-28,Geelong,Adelaide,15.7,7.13,Kardinia Park,19051.0,16.0,6.3,0.2
2022R1103,2022,R11,2022-05-28,Brisbane Lions,Greater Western Sydney,16.14,15.6,Gabba,22068.0,24.8,14.3,0.0
2022R1104,2022,R11,2022-05-28,Melbourne,Fremantle,7.14,14.1,M.C.G.,29812.0,15.4,6.3,0.1
2022R1105,2022,R11,2022-05-28,West Coast,Western Bulldogs,9.6,25.11,Perth Stadium,31838.0,22.9,11.5,0.0
2022R1106,2022,R11,2022-05-28,Gold Coast,Hawthorn,18.13,7.12,Marrara Oval,7516.0,32.8,21.8,0.0
2022R1107,2022,R11,2022-05-29,St Kilda,North Melbourne,16.7,7.8,Docklands,23464.0,15.9,4.9,0.0
2022R1108,2022,R11,2022-05-29,Collingwood,Carlton,11.13,11.9,M.C.G.,80627.0,15.9,4.9,0.0
2022R1109,2022,R11,2022-05-29,Port Adelaide,Essendon,9.12,6.14,Adelaide Oval,25877.0,19.3,7.3,7.2
2022R1201,2022,R12,2022-06-03,Western Bulldogs,Geelong,10.1,12.11,Docklands,34370.0,12.4,4.3,0.0
2022R1202,2022,R12,2022-06-04,Adelaide,West Coast,13.1,8.9,Adelaide Oval,22859.0,15.8,11.3,4.0
2022R1203,2022,R12,2022-06-04,Gold Coast,North Melbourne,15.19,7.5,Marrara Oval,5523.0,33.9,25.0,0.0
2022R1204,2022,R12,2022-06-04,Melbourne,Sydney,9.7,10.13,M.C.G.,32753.0,14.5,7.6,0.0
2022R1205,2022,R12,2022-06-05,Hawthorn,Collingwood,10.8,10.12,M.C.G.,43939.0,13.4,9.8,0.6
2022R1206,2022,R12,2022-06-05,Fremantle,Brisbane Lions,15.9,13.7,Perth Stadium,47214.0,18.1,3.3,0.0
2022R1301,2022,R13,2022-06-09,Richmond,Port Adelaide,11.11,10.5,M.C.G.,21757.0,13.6,8.0,0.2
2022R1302,2022,R13,2022-06-10,Essendon,Carlton,7.12,12.8,M.C.G.,65440.0,13.8,8.3,0.0
2022R1303,2022,R13,2022-06-11,Fremantle,Hawthorn,14.11,12.1,Perth Stadium,39428.0,21.6,16.0,7.6
2022R1304,2022,R13,2022-06-11,Brisbane Lions,St Kilda,10.18,8.9,Gabba,26610.0,18.8,7.5,0.0
2022R1305,2022,R13,2022-06-12,North Melbourne,Greater Western Sydney,7.11,15.12,Docklands,13742.0,13.4,9.0,0.4
2022R1306,2022,R13,2022-06-13,Collingwood,Melbourne,12.1,8.8,M.C.G.,76059.0,12.6,8.2,5.0
2022R1401,2022,R14,2022-06-16,Richmond,Carlton,11.15,9.12,M.C.G.,50741.0,14.2,9.3,1.0
2022R1402,2022,R14,2022-06-17,St Kilda,Essendon,11.6,15.17,Docklands,33274.0,13.9,9.9,4.0
2022R1403,2022,R14,2022-06-18,Port Adelaide,Sydney,12.1,8.11,Adelaide Oval,30445.0,17.7,7.8,0.0
2022R1404,2022,R14,2022-06-18,West Coast,Geelong,9.9,12.9,Perth Stadium,32526.0,18.2,13.5,10.6
2022R1405,2022,R14,2022-06-18,Greater Western Sydney,Western Bulldogs,16.9,19.11,Sydney Showground,6208.0,18.7,9.2,0.0
2022R1406,2022,R14,2022-06-19,Gold Coast,Adelaide,18.8,10.13,Carrara,10507.0,22.7,10.9,0.0
2022R1501,2022,R15,2022-06-23,Melbourne,Brisbane Lions,16.21,7.11,M.C.G.,37728.0,15.9,10.4,0.4
2022R1502,2022,R15,2022-06-24,Western Bulldogs,Hawthorn,19.11,12.11,Docklands,32505.0,16.1,11.2,4.9
2022R1503,2022,R15,2022-06-24,West Coast,Essendon,16.11,14.13,Perth Stadium,40933.0,19.2,8.6,0.8
2022R1504,2022,R15,2022-06-25,Carlton,Fremantle,12.9,7.8,Docklands,35441.0,15.2,7.9,0.4
2022R1505,2022,R15,2022-06-25,Geelong,Richmond,13.11,13.8,M.C.G.,59335.0,15.2,7.9,0.4
2022R1506,2022,R15,2022-06-25,Sydney,St Kilda,12.11,4.8,S.C.G.,31513.0,20.7,9.6,0.0
2022R1507,2022,R15,2022-06-26,North Melbourne,Adelaide,8.1,17.13,Bellerive Oval,5072.0,11.5,7.9,3.8
2022R1508,2022,R15,2022-06-26,Collingwood,Greater Western Sydney,11.22,12.5,M.C.G.,30804.0,12.8,9.2,0.2
2022R1509,2022,R15,2022-06-26,Port Adelaide,Gold Coast,13.15,13.13,Adelaide Oval,26241.0,15.6,9.8,1.8
2022R1601,2022,R16,2022-06-30,Brisbane Lions,Western Bulldogs,16.12,9.13,Gabba,25011.0,21.3,13.2,0.8
2022R1602,2022,R16,2022-07-01,Carlton,St Kilda,10.18,14.9,Docklands,43194.0,12.3,4.9,0.0
2022R1603,2022,R16,2022-07-02,Essendon,Sydney,15.5,12.14,M.C.G.,43163.0,12.2,5.2,0.0
2022R1604,2022,R16,2022-07-02,Adelaide,Melbourne,10.5,14.1,Adelaide Oval,30702.0,13.0,4.2,0.0
2022R1605,2022,R16,2022-07-02,Gold Coast,Collingwood,8.14,9.13,Carrara,16027.0,17.8,14.3,27.2
2022R1606,2022,R16,2022-07-02,Geelong,North Melbourne,21.18,5.2,Kardinia Park,18091.0,12.5,3.7,0.2
2022R1607,2022,R16,2022-07-03,Richmond,West Coast,20.8,13.15,M.C.G.,39391.0,12.4,3.3,0.1
2022R1608,2022,R16,2022-07-03,Greater Western Sydney,Hawthorn,11.6,7.8,Sydney Showground,4812.0,17.1,12.3,93.4
2022R1609,2022,R16,2022-07-03,Fremantle,Port Adelaide,15.9,14.7,Perth Stadium,41326.0,19.2,2.5,0.0
2022R1701,2022,R17,2022-07-07,Geelong,Melbourne,12.19,9.9,Kardinia Park,21501.0,14.5,3.2,0.0
2022R1702,2022,R17,2022-07-08,Sydney,Western Bulldogs,17.18,9.13,S.C.G.,22226.0,15.6,7.5,0.1
2022R1703,2022,R17,2022-07-09,Collingwood,North Melbourne,13.1,12.9,M.C.G.,45039.0,12.6,6.2,8.0
2022R1704,2022,R17,2022-07-09,Gold Coast,Richmond,14.1,13.14,Carrara,18031.0,17.8,8.2,0.0
2022R1705,2022,R17,2022-07-09,St Kilda,Fremantle,10.1,17.9,Docklands,21652.0,12.6,6.2,8.0
2022R1706,2022,R17,2022-07-09,Port Adelaide,Greater Western Sydney,12.12,3.11,Adelaide Oval,24744.0,13.9,6.3,4.0
2022R1707,2022,R17,2022-07-10,Brisbane Lions,Essendon,13.12,15.1,Gabba,29101.0,20.0,7.3,0.0
2022R1708,2022,R17,2022-07-10,Hawthorn,Adelaide,13.8,8.6,Docklands,18833.0,15.3,3.9,0.2
2022R1709,2022,R17,2022-07-10,West Coast,Carlton,8.5,17.14,Perth Stadium,43359.0,17.4,12.8,25.2
2022R1801,2022,R18,2022-07-15,Western Bulldogs,St Kilda,13.6,7.14,Docklands,25981.0,15.0,5.7,0.0
2022R1802,2022,R18,2022-07-16,Adelaide,Collingwood,13.8,14.7,Adelaide Oval,30110.0,14.3,9.2,0.0
2022R1803,2022,R18,2022-07-16,Greater Western Sydney,Brisbane Lions,9.5,15.9,Manuka Oval,9010.0,10.6,-3.2,0.0
2022R1804,2022,R18,2022-07-16,North Melbourne,Richmond,14.8,11.22,Docklands,22666.0,12.7,7.8,0.0
2022R1805,2022,R18,2022-07-16,Carlton,Geelong,8.7,12.13,M.C.G.,68208.0,12.7,7.8,0.0
2022R1806,2022,R18,2022-07-16,Fremantle,Sydney,9.11,11.16,Perth Stadium,46596.0,20.1,8.6,0.0
2022R1807,2022,R18,2022-07-17,Hawthorn,West Coast,15.12,12.5,M.C.G.,22598.0,15.8,8.0,0.0
2022R1808,2022,R18,2022-07-17,Melbourne,Port Adelaide,12.11,10.9,Traeger Park,6312.0,24.6,-0.2,0.0
2022R1809,2022,R18,2022-07-17,Essendon,Gold Coast,14.19,8.7,Docklands,23484.0,15.8,8.0,0.0
2022R1901,2022,R19,2022-07-22,Richmond,Fremantle,7.1,7.1,Docklands,23549.0,17.9,1.5,0.0
2022R1902,2022,R19,2022-07-23,Sydney,Adelaide,17.16,12.13,S.C.G.,25084.0,17.2,11.2,15.4
2022R1903,2022,R19,2022-07-23,North Melbourne,Hawthorn,11.9,19.7,Bellerive Oval,9713.0,15.4,4.6,0.0
2022R1904,2022,R19,2022-07-23,Port Adelaide,Geelong,14.1,16.1,Adelaide Oval,30937.0,16.8,11.8,0.0
2022R1905,2022,R19,2022-07-23,Brisbane Lions,Gold Coast,16.14,14.9,Gabba,21467.0,21.6,14.3,4.4
2022R1906,2022,R19,2022-07-23,Western Bulldogs,Melbourne,17.8,15.1,Docklands,26501.0,13.4,6.2,2.2
2022R1907,2022,R19,2022-07-24,Carlton,Greater Western Sydney,13.12,8.6,Docklands,30295.0,18.2,9.3,8.6
2022R1908,2022,R19,2022-07-24,Collingwood,Essendon,12.8,11.1,M.C.G.,72402.0,18.2,9.3,8.6
2022R1909,2022,R19,2022-07-24,West Coast,St Kilda,10.2,14.6,Perth Stadium,35665.0,16.7,7.0,22.2
2022R2001,2022,R20,2022-07-29,Fremantle,Melbourne,5.9,12.13,Perth Stadium,46313.0,19.1,14.2,13.2
2022R2002,2022,R20,2022-07-30,Collingwood,Port Adelaide,13.1,12.1,M.C.G.,40716.0,12.4,-1.2,0.0
2022R2003,2022,R20,2022-07-30,Sydney,Greater Western Sydney,17.1,5.9,S.C.G.,31916.0,17.3,5.1,0.0
2022R2004,2022,R20,2022-07-30,St Kilda,Hawthorn,10.15,9.9,Docklands,25348.0,12.4,-1.2,0.0
2022R2005,2022,R20,2022-07-30,Geelong,Western Bulldogs,14.1,9.12,Kardinia Park,22106.0,14.3,-0.4,0.0
2022R2006,2022,R20,2022-07-30,Adelaide,Carlton,12.12,8.7,Adelaide Oval,35666.0,15.8,9.6,0.0
2022R2007,2022,R20,2022-07-31,Gold Coast,West Coast,16.11,16.8,Carrara,8282.0,19.4,12.9,5.2
2022R2008,2022,R20,2022-07-31,Richmond,Brisbane Lions,15.14,14.13,M.C.G.,39056.0,14.1,6.8,0.0
2022R2009,2022,R20,2022-07-31,Essendon,North Melbourne,17.12,9.12,Docklands,29549.0,14.1,6.8,0.0
2022R2101,2022,R21,2022-08-05,Melbourne,Collingwood,13.11,15.6,M.C.G.,70596.0,14.3,11.3,0.0
2022R2102,2022,R21,2022-08-06,Hawthorn,Gold Coast,10.1,8.15,York Park,9022.0,12.9,3.2,1.8
2022R2103,2022,R21,2022-08-06,Greater Western Sydney,Essendon,14.12,10.9,Sydney Showground,7772.0,20.5,10.2,0.0
2022R2104,2022,R21,2022-08-06,Western Bulldogs,Fremantle,11.12,14.11,Docklands,24130.0,14.2,6.8,5.0
2022R2105,2022,R21,2022-08-06,Geelong,St Kilda,17.8,10.5,Kardinia Park,20583.0,14.4,4.7,2.6
2022R2106,2022,R21,2022-08-06,Port Adelaide,Richmond,10.11,16.13,Adelaide Oval,27091.0,14.8,10.4,9.4
2022R2107,2022,R21,2022-08-07,North Melbourne,Sydney,13.1,18.18,Docklands,19091.0,14.3,7.6,1.6
2022R2108,2022,R21,2022-08-07,Brisbane Lions,Carlton,17.12,12.9,Gabba,31011.0,21.9,10.8,0.2
2022R2109,2022,R21,2022-08-07,West Coast,Adelaide,13.8,16.6,Perth Stadium,50117.0,18.2,12.0,15.6
2022R2201,2022,R22,2022-08-12,St Kilda,Brisbane Lions,9.12,12.9,Docklands,22211.0,15.2,10.2,1.4
2022R2202,2022,R22,2022-08-13,Western Bulldogs,Greater Western Sydney,9.8,8.9,Docklands,18301.0,16.9,5.5,0.1
2022R2203,2022,R22,2022-08-13,Adelaide,North Melbourne,15.13,10.14,Adelaide Oval,28802.0,14.5,9.8,6.4
2022R2204,2022,R22,2022-08-13,Gold Coast,Geelong,9.5,18.11,Carrara,14728.0,17.5,15.6,1.2
2022R2205,2022,R22,2022-08-13,Melbourne,Carlton,11.13,10.14,M.C.G.,55705.0,16.9,5.5,0.1
2022R2206,2022,R22,2022-08-13,Fremantle,West Coast,9.17,7.5,Perth Stadium,53818.0,17.9,11.0,0.0
2022R2207,2022,R22,2022-08-14,Richmond,Hawthorn,20.8,9.13,M.C.G.,59338.0,14.7,7.2,0.0
2022R2208,2022,R22,2022-08-14,Sydney,Collingwood,11.11,7.8,S.C.G.,44659.0,18.6,10.4,0.0
2022R2209,2022,R22,2022-08-14,Essendon,Port Adelaide,9.8,23.8,Docklands,20568.0,14.7,7.2,0.0
2022R2301,2022,R23,2022-08-19,Brisbane Lions,Melbourne,8.9,18.7,Gabba,32172.0,28.1,8.4,0.0
2022R2302,2022,R23,2022-08-20,Greater Western Sydney,Fremantle,10.9,13.11,Manuka Oval,7338.0,13.0,4.4,1.0
2022R2303,2022,R23,2022-08-20,North Melbourne,Gold Coast,6.11,16.18,Docklands,14196.0,13.2,9.7,5.6
2022R2304,2022,R23,2022-08-20,Geelong,West Coast,19.17,7.4,Kardinia Park,21098.0,13.7,8.9,2.8
2022R2305,2022,R23,2022-08-20,Essendon,Richmond,11.9,21.15,M.C.G.,58366.0,13.2,9.7,5.6
2022R2306,2022,R23,2022-08-20,Port Adelaide,Adelaide,16.15,7.13,Adelaide Oval,50090.0,15.1,12.4,0.0
2022R2307,2022,R23,2022-08-21,Hawthorn,Western Bulldogs,10.4,12.15,York Park,13105.0,12.1,1.5,0.0
2022R2308,2022,R23,2022-08-21,Carlton,Collingwood,10.14,11.9,M.C.G.,88287.0,14.2,6.3,0.1
2022R2309,2022,R23,2022-08-21,St Kilda,Sydney,11.8,13.1,Docklands,23344.0,14.2,6.3,0.1
2022EF01,2022,EF,2022-09-01,Brisbane Lions,Richmond,16.1,16.8,Gabba,35013.0,22.8,13.3,0.0
2022QF01,2022,QF,2022-09-02,Melbourne,Sydney,10.9,14.7,M.C.G.,78377.0,12.5,7.0,4.2
2022EF02,2022,EF,2022-09-03,Fremantle,Western Bulldogs,11.7,8.12,Perth Stadium,58982.0,16.1,11.7,7.6
2022QF02,2022,QF,2022-09-03,Geelong,Collingwood,11.12,10.12,M.C.G.,91525.0,14.7,4.6,0.0
2022SF01,2022,SF,2022-09-09,Melbourne,Brisbane Lions,11.13,14.8,M.C.G.,62162.0,20.5,10.8,0.6
2022SF02,2022,SF,2022-09-10,Collingwood,Fremantle,11.13,9.5,M.C.G.,90612.0,16.1,10.2,6.2
2022PF01,2022,PF,2022-09-16,Geelong,Brisbane Lions,18.12,7.7,M.C.G.,77677.0,17.0,10.0,0.0
2022PF02,2022,PF,2022-09-17,Sydney,Collingwood,14.11,14.1,S.C.G.,45608.0,23.0,15.3,0.1
2022GF01,2022,GF,2022-09-24,Geelong,Sydney,20.13,8.4,M.C.G.,100024.0,14.9,7.5,0.0
